question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level
Q329,"Find the odd one out: Diamond, Heart, Rabbit, Circle.",Diamond,Heart,Rabbit,Circle,C,Logic,Medium
Q330,"Find the odd one out: Orange, Plum, Kiwi, Orange.",Orange,Plum,Kiwi,Orange,A,Logic,Medium
Q331,"Find the odd one out: Circle, Apple, Star, Diamond.",Circle,Apple,Star,Diamond,B,Logic,Medium
Q332,"Find the odd one out: Peach, Van, Pear, Papaya.",Peach,Van,Pear,Papaya,B,Logic,Easy
Q333,"Find the odd one out: Pumpkin, Onion, Purple, Tomato.",Pumpkin,Onion,Purple,Tomato,C,Logic,Medium
Q334,"Find the odd one out: Ship, Orange, Bicycle, Boat.",Ship,Orange,Bicycle,Boat,B,Logic,Medium
Q335,"Find the odd one out: Potato, Diamond, Star, Triangle.",Potato,Diamond,Star,Triangle,A,Logic,Easy
Q336,"Find the odd one out: Bus, Wardrobe, Bicycle, Truck.",Bus,Wardrobe,Bicycle,Truck,B,Logic,Medium
Q337,"Find the odd one out: Pumpkin, Diamond, Trapezoid, Octagon.",Pumpkin,Diamond,Trapezoid,Octagon,A,Logic,Easy
Q338,"Find the odd one out: Pineapple, Papaya, Triangle, Banana.",Pineapple,Papaya,Triangle,Banana,C,Logic,Easy
Q339,"Find the odd one out: Tomato, Table, Beetroot, Potato.",Tomato,Table,Beetroot,Potato,B,Logic,Easy
Q340,"Find the odd one out: Plum, Peach, Banana, Star.",Plum,Peach,Banana,Star,D,Logic,Medium
Q341,"Find the odd one out: Couch, Bench, Kangaroo, Bed.",Couch,Bench,Kangaroo,Bed,C,Logic,Medium
Q342,"Find the odd one out: Tractor, Pink, Red, Orange.",Tractor,Pink,Red,Orange,A,Logic,Easy
Q343,"Find the odd one out: Chair, Table, Stool, Kangaroo.",Chair,Table,Stool,Kangaroo,D,Logic,Medium
Q344,"Find the odd one out: White, Cyan, Yellow, Papaya.",White,Cyan,Yellow,Papaya,D,Logic,Medium
Q345,"Find the odd one out: Purple, Stool, Red, White.",Purple,Stool,Red,White,B,Logic,Easy
Q346,"Find the odd one out: Truck, Boat, Beetroot, Plane.",Truck,Boat,Beetroot,Plane,C,Logic,Easy
Q347,"Find the odd one out: Broccoli, Tomato, Truck, Pumpkin.",Broccoli,Tomato,Truck,Pumpkin,C,Logic,Medium
Q348,"Find the odd one out: Helicopter, Square, Oval, Circle.",Helicopter,Square,Oval,Circle,A,Logic,Medium
Q349,"Find the odd one out: Bear, Giraffe, Beetroot, Wolf.",Bear,Giraffe,Beetroot,Wolf,C,Logic,Easy
Q350,"Find the odd one out: Scooter, Ship, Lion, Van.",Scooter,Ship,Lion,Van,C,Logic,Easy
Q351,"Find the odd one out: Fox, Tiger, Trapezoid, Lion.",Fox,Tiger,Trapezoid,Lion,C,Logic,Easy
Q352,"Find the odd one out: Bus, Grapes, Pineapple, Banana.",Bus,Grapes,Pineapple,Banana,A,Logic,Medium
Q353,"Find the odd one out: Rectangle, Helicopter, Diamond, Triangle.",Rectangle,Helicopter,Diamond,Triangle,B,Logic,Medium
Q354,"Find the odd one out: Dog, Lion, Wolf, Cupboard.",Dog,Lion,Wolf,Cupboard,D,Logic,Easy
Q355,"Find the odd one out: Plane, Tractor, Van, Hexagon.",Plane,Tractor,Van,Hexagon,D,Logic,Medium
Q356,"Find the odd one out: Cyan, Bus, Red, White.",Cyan,Bus,Red,White,B,Logic,Medium
Q357,"Find the odd one out: Kangaroo, Red, Lion, Giraffe.",Kangaroo,Red,Lion,Giraffe,B,Logic,Easy
Q358,"Find the odd one out: Potato, Spinach, Cyan, Broccoli.",Potato,Spinach,Cyan,Broccoli,C,Logic,Easy
Q359,"Find the odd one out: Truck, Couch, Bus, Boat.",Truck,Couch,Bus,Boat,B,Logic,Medium
Q360,"Find the odd one out: Spinach, Pea, Onion, Trapezoid.",Spinach,Pea,Onion,Trapezoid,D,Logic,Medium
Q361,"Find the odd one out: Red, Purple, White, Shelf.",Red,Purple,White,Shelf,D,Logic,Easy
Q362,"Find the odd one out: Table, Tiger, Fox, Elephant.",Table,Tiger,Fox,Elephant,A,Logic,Medium
Q363,"Find the odd one out: Sofa, Onion, Spinach, Tomato.",Sofa,Onion,Spinach,Tomato,A,Logic,Medium
Q364,"Find the odd one out: Kangaroo, Zebra, Elephant, Bench.",Kangaroo,Zebra,Elephant,Bench,D,Logic,Medium
Q365,"Find the odd one out: Pineapple, Banana, Bus, Kiwi.",Pineapple,Banana,Bus,Kiwi,C,Logic,Medium
Q366,"Find the odd one out: Orange, Black, Trapezoid, Brown.",Orange,Black,Trapezoid,Brown,C,Logic,Easy
Q367,"Find the odd one out: Bear, Trapezoid, Cat, Fox.",Bear,Trapezoid,Cat,Fox,B,Logic,Easy
Q368,"Find the odd one out: Triangle, Car, Heart, Diamond.",Triangle,Car,Heart,Diamond,B,Logic,Easy
Q369,"Find the odd one out: Hexagon, Square, Cyan, Rectangle.",Hexagon,Square,Cyan,Rectangle,C,Logic,Easy
Q370,"Find the odd one out: Giraffe, Potato, Tiger, Rabbit.",Giraffe,Potato,Tiger,Rabbit,B,Logic,Easy
Q371,"Find the odd one out: Helicopter, Pink, Red, Purple.",Helicopter,Pink,Red,Purple,A,Logic,Easy
Q372,"Find the odd one out: Hexagon, Octagon, Square, Boat.",Hexagon,Octagon,Square,Boat,D,Logic,Medium
Q373,"Find the odd one out: Zebra, Rabbit, Oval, Lion.",Zebra,Rabbit,Oval,Lion,C,Logic,Easy
Q374,"Find the odd one out: Red, Grapes, Pink, Purple.",Red,Grapes,Pink,Purple,B,Logic,Easy
Q375,"Find the odd one out: Rabbit, Giraffe, Kangaroo, Potato.",Rabbit,Giraffe,Kangaroo,Potato,D,Logic,Medium
Q376,"Find the odd one out: Apple, Couch, Grapes, Banana.",Apple,Couch,Grapes,Banana,B,Logic,Easy
Q377,"Find the odd one out: Tractor, Potato, Helicopter, Motorbike.",Tractor,Potato,Helicopter,Motorbike,B,Logic,Medium
Q378,"Find the odd one out: Heart, Square, Dog, Pentagon.",Heart,Square,Dog,Pentagon,C,Logic,Medium
Q379,"Find the odd one out: Blue, Pink, Triangle, Green.",Blue,Pink,Triangle,Green,C,Logic,Easy
Q380,"Find the odd one out: Bed, Trapezoid, Triangle, Hexagon.",Bed,Trapezoid,Triangle,Hexagon,A,Logic,Easy
Q381,"Find the odd one out: Tractor, Ship, Car, Banana.",Tractor,Ship,Car,Banana,D,Logic,Easy
Q382,"Find the odd one out: Circle, Bicycle, Bus, Ship.",Circle,Bicycle,Bus,Ship,A,Logic,Medium
Q383,"Find the odd one out: Purple, Sofa, Pink, Red.",Purple,Sofa,Pink,Red,B,Logic,Medium
Q384,"Find the odd one out: Onion, Spinach, Potato, Triangle.",Onion,Spinach,Potato,Triangle,D,Logic,Medium
Q385,"Find the odd one out: Purple, Oval, Orange, Green.",Purple,Oval,Orange,Green,B,Logic,Medium
Q386,"Find the odd one out: Beetroot, Wolf, Bear, Rabbit.",Beetroot,Wolf,Bear,Rabbit,A,Logic,Medium
Q387,"Find the odd one out: Apple, Grapes, Beetroot, Orange.",Apple,Grapes,Beetroot,Orange,C,Logic,Medium
Q388,"Find the odd one out: Dresser, Star, Pentagon, Circle.",Dresser,Star,Pentagon,Circle,A,Logic,Medium
Q389,"Find the odd one out: Truck, White, Bicycle, Van.",Truck,White,Bicycle,Van,B,Logic,Medium
Q390,"Find the odd one out: Star, Square, Hexagon, Cat.",Star,Square,Hexagon,Cat,D,Logic,Easy
Q391,"Find the odd one out: Dresser, Bench, Trapezoid, Shelf.",Dresser,Bench,Trapezoid,Shelf,C,Logic,Easy
Q392,"Find the odd one out: Cherry, Sofa, Couch, Cupboard.",Cherry,Sofa,Couch,Cupboard,A,Logic,Easy
Q393,"Find the odd one out: Yellow, Black, Bicycle, Red.",Yellow,Black,Bicycle,Red,C,Logic,Medium
Q394,"Find the odd one out: Pea, Car, Motorbike, Bicycle.",Pea,Car,Motorbike,Bicycle,A,Logic,Easy
Q395,"Find the odd one out: Octagon, Tractor, Car, Bicycle.",Octagon,Tractor,Car,Bicycle,A,Logic,Easy
Q396,"Find the odd one out: Onion, Spinach, Pentagon, Corn.",Onion,Spinach,Pentagon,Corn,C,Logic,Medium
Q397,"Find the odd one out: Rabbit, Tiger, Octagon, Zebra.",Rabbit,Tiger,Octagon,Zebra,C,Logic,Easy
Q398,"Find the odd one out: Pumpkin, Sofa, Corn, Pea.",Pumpkin,Sofa,Corn,Pea,B,Logic,Medium
Q399,"Find the odd one out: Orange, Triangle, Mango, Pineapple.",Orange,Triangle,Mango,Pineapple,B,Logic,Medium
Q400,"Find the odd one out: Ship, Bear, Tiger, Rabbit.",Ship,Bear,Tiger,Rabbit,A,Logic,Easy
Q401,Select the synonym of 'strong'.,see,powerful,simple,quick,B,Verbal,Easy
Q402,Select the word that rhymes with 'dog'.,pen,book,log,car,C,Verbal,Easy
Q403,Select the synonym of 'end'.,courageous,close,silent,finish,D,Verbal,Easy
Q404,Select the word that rhymes with 'pen'.,hen,stone,book,chair,A,Verbal,Easy
Q405,Select the synonym of 'cold'.,chilly,powerful,inexpensive,request,A,Verbal,Easy
Q406,Select the synonym of 'big'.,retain,large,begin,tiny,B,Verbal,Easy
Q407,Select the synonym of 'angry'.,mad,silent,stroll,intelligent,A,Verbal,Easy
Q408,Select the antonym of 'hard'.,soft,closed,out,down,A,Verbal,Easy
Q409,Select the synonym of 'keep'.,noisy,close,retain,large,C,Verbal,Easy
Q410,Select the synonym of 'cheap'.,silent,chilly,tiny,inexpensive,D,Verbal,Easy
Q411,Select the antonym of 'light'.,sad,closed,dark,cold,C,Verbal,Easy
Q412,Select the word that rhymes with 'car'.,pen,table,star,chair,C,Verbal,Easy
Q413,Select the word that rhymes with 'dog'.,moon,stone,book,log,D,Verbal,Easy
Q414,Select the synonym of 'help'.,large,retain,intelligent,assist,D,Verbal,Easy
Q415,Select the synonym of 'small'.,tiny,close,silent,begin,A,Verbal,Easy
Q416,Select the synonym of 'brave'.,see,donate,joyful,courageous,D,Verbal,Easy
Q417,Select the synonym of 'end'.,begin,joyful,silent,finish,D,Verbal,Easy
Q418,Select the synonym of 'start'.,begin,powerful,stroll,close,A,Verbal,Easy
Q419,Select the antonym of 'big'.,slow,small,sad,empty,B,Verbal,Easy
Q420,Select the word that rhymes with 'mouse'.,house,book,leaf,chair,A,Verbal,Easy
Q421,Select the antonym of 'hot'.,dark,cold,out,closed,B,Verbal,Easy
Q422,Select the synonym of 'quiet'.,tiny,finish,powerful,silent,D,Verbal,Easy
Q423,Select the word that rhymes with 'tree'.,king,bee,book,car,B,Verbal,Easy
Q424,Select the synonym of 'start'.,silent,inexpensive,begin,noisy,C,Verbal,Easy
Q425,Select the word that rhymes with 'light'.,dog,king,night,moon,C,Verbal,Easy
Q426,Select the synonym of 'cheap'.,intelligent,inexpensive,mad,chilly,B,Verbal,Easy
Q427,Select the word that rhymes with 'car'.,pen,dog,star,leaf,C,Verbal,Easy
Q428,Select the word that rhymes with 'dog'.,chair,leaf,log,table,C,Verbal,Easy
Q429,Select the antonym of 'near'.,empty,dark,far,outside,C,Verbal,Easy
Q430,Select the word that rhymes with 'mouse'.,moon,house,leaf,car,B,Verbal,Easy
Q431,Select the word that rhymes with 'dog'.,log,chair,leaf,stone,A,Verbal,Easy
Q432,Select the word that rhymes with 'ball'.,chair,dog,fall,king,C,Verbal,Easy
Q433,Select the antonym of 'strong'.,empty,weak,closed,soft,B,Verbal,Easy
Q434,Select the antonym of 'strong'.,empty,weak,sad,small,B,Verbal,Easy
Q435,Select the word that rhymes with 'tree'.,stone,dog,table,bee,D,Verbal,Easy
Q436,Select the antonym of 'full'.,empty,outside,sad,weak,A,Verbal,Easy
Q437,Select the synonym of 'fast'.,large,joyful,quick,simple,C,Verbal,Easy
Q438,Select the word that rhymes with 'dog'.,moon,log,leaf,book,B,Verbal,Easy
Q439,Select the word that rhymes with 'cat'.,chair,hat,table,king,B,Verbal,Easy
Q440,Select the synonym of 'cheap'.,see,inexpensive,stroll,close,B,Verbal,Easy
Q441,Select the word that rhymes with 'pen'.,stone,dog,hen,car,C,Verbal,Easy
Q442,Select the synonym of 'keep'.,powerful,joyful,retain,donate,C,Verbal,Easy
Q443,Select the antonym of 'light'.,small,sad,dark,cold,C,Verbal,Easy
Q444,Select the antonym of 'full'.,empty,out,weak,small,A,Verbal,Easy
Q445,Select the antonym of 'big'.,dark,small,sad,cold,B,Verbal,Easy
Q446,Select the word that rhymes with 'mouse'.,king,house,table,leaf,B,Verbal,Easy
Q447,Select the antonym of 'hard'.,far,soft,empty,outside,B,Verbal,Easy
Q448,Select the word that rhymes with 'cat'.,dog,table,hat,king,C,Verbal,Easy
Q449,Select the synonym of 'start'.,wealthy,begin,stroll,close,B,Verbal,Easy
Q450,Select the antonym of 'near'.,sad,slow,far,weak,C,Verbal,Easy
Q451,Select the word that rhymes with 'ball'.,table,book,king,fall,D,Verbal,Easy
Q452,Select the synonym of 'strong'.,request,joyful,silent,powerful,D,Verbal,Easy
Q453,Select the word that rhymes with 'pen'.,moon,table,book,hen,D,Verbal,Easy
Q454,Select the synonym of 'give'.,intelligent,chilly,donate,inexpensive,C,Verbal,Easy
Q455,Select the synonym of 'brave'.,joyful,noisy,simple,courageous,D,Verbal,Easy
Q456,Select the antonym of 'hard'.,soft,dark,far,small,A,Verbal,Easy
Q457,Select the synonym of 'walk'.,stroll,begin,mad,donate,A,Verbal,Easy
Q458,Select the synonym of 'end'.,noisy,joyful,begin,finish,D,Verbal,Easy
Q459,Select the antonym of 'fast'.,empty,closed,small,slow,D,Verbal,Easy
Q460,Select the word that rhymes with 'ball'.,fall,stone,pen,chair,A,Verbal,Easy
Q461,Select the word that rhymes with 'ring'.,book,sing,moon,chair,B,Verbal,Easy
Q462,Select the word that rhymes with 'pen'.,stone,leaf,moon,hen,D,Verbal,Easy
Q463,Select the word that rhymes with 'ball'.,chair,pen,fall,stone,C,Verbal,Easy
Q464,Select the antonym of 'up'.,outside,slow,soft,down,D,Verbal,Easy
Q465,Select the antonym of 'light'.,small,far,dark,out,C,Verbal,Easy
Q466,Select the synonym of 'loud'.,quick,noisy,begin,donate,B,Verbal,Easy
Q467,Select the antonym of 'in'.,outside,weak,soft,out,D,Verbal,Easy
Q468,Select the word that rhymes with 'dog'.,pen,chair,log,moon,C,Verbal,Easy
Q469,Select the antonym of 'near'.,slow,far,weak,dark,B,Verbal,Easy
Q470,Select the synonym of 'fast'.,request,close,quick,intelligent,C,Verbal,Easy
Q471,Select the antonym of 'wet'.,soft,late,empty,dry,D,Verbal,Easy
Q472,Select the word that rhymes with 'tree'.,king,bee,leaf,chair,B,Verbal,Easy
Q473,Select the antonym of 'light'.,out,sad,closed,dark,D,Verbal,Easy
Q474,Select the synonym of 'brave'.,finish,simple,courageous,large,C,Verbal,Easy
Q475,Select the antonym of 'hot'.,closed,cold,out,dry,B,Verbal,Easy
Q476,Select the synonym of 'cheap'.,inexpensive,joyful,assist,quick,A,Verbal,Easy
Q477,Select the antonym of 'hot'.,cold,closed,sad,small,A,Verbal,Easy
Q478,Select the word that rhymes with 'ring'.,king,table,sing,pen,C,Verbal,Easy
Q479,Select the antonym of 'light'.,dark,far,slow,dry,A,Verbal,Easy
Q480,Select the word that rhymes with 'pen'.,chair,table,king,hen,D,Verbal,Easy
Q481,Select the antonym of 'big'.,small,dry,slow,outside,A,Verbal,Easy
Q482,Select the antonym of 'hard'.,soft,far,small,dark,A,Verbal,Easy
Q483,Select the synonym of 'cold'.,powerful,quick,inexpensive,chilly,D,Verbal,Easy
Q484,Select the antonym of 'strong'.,dark,out,soft,weak,D,Verbal,Easy
Q485,Select the antonym of 'fast'.,down,dark,slow,empty,C,Verbal,Easy
Q486,Select the antonym of 'wet'.,dry,out,small,soft,A,Verbal,Easy
Q487,Select the synonym of 'keep'.,large,intelligent,retain,tiny,C,Verbal,Easy
Q488,Select the synonym of 'empty'.,vacant,begin,request,mad,A,Verbal,Easy
Q489,Select the synonym of 'fast'.,noisy,quick,donate,stroll,B,Verbal,Easy
Q490,Select the antonym of 'in'.,dark,weak,out,slow,C,Verbal,Easy
Q491,Select the synonym of 'strong'.,noisy,request,powerful,large,C,Verbal,Easy
Q492,Select the word that rhymes with 'ball'.,fall,car,stone,dog,A,Verbal,Easy
Q493,Select the word that rhymes with 'cat'.,chair,stone,leaf,hat,D,Verbal,Easy
Q494,Select the synonym of 'easy'.,silent,intelligent,simple,mad,C,Verbal,Easy
Q495,Select the synonym of 'ask'.,noisy,finish,request,joyful,C,Verbal,Easy
Q496,Select the antonym of 'happy'.,closed,slow,cold,sad,D,Verbal,Easy
Q497,Select the antonym of 'full'.,empty,slow,closed,dry,A,Verbal,Easy
Q498,Select the word that rhymes with 'dog'.,leaf,log,chair,table,B,Verbal,Easy
Q499,Select the antonym of 'open'.,out,dry,sad,closed,D,Verbal,Easy
Q500,Select the antonym of 'inside'.,outside,down,dry,soft,A,Verbal,Easy
Q501,Select the synonym of 'big'.,large,noisy,vacant,finish,A,Verbal,Easy
Q502,Select the synonym of 'fast'.,inexpensive,noisy,quick,joyful,C,Verbal,Easy
Q503,Select the synonym of 'smart'.,intelligent,large,powerful,see,A,Verbal,Easy
Q504,Select the word that rhymes with 'dog'.,pen,table,log,stone,C,Verbal,Easy
Q505,Select the antonym of 'inside'.,far,dry,down,outside,D,Verbal,Easy
Q506,Select the synonym of 'happy'.,joyful,quick,begin,powerful,A,Verbal,Easy
Q507,Select the antonym of 'big'.,down,closed,small,late,C,Verbal,Easy
Q508,Select the antonym of 'in'.,down,weak,out,cold,C,Verbal,Easy
Q509,Select the antonym of 'near'.,dry,slow,far,dark,C,Verbal,Easy
Q510,Select the synonym of 'loud'.,inexpensive,see,tiny,noisy,D,Verbal,Easy
Q511,Select the antonym of 'strong'.,empty,sad,outside,weak,D,Verbal,Easy
Q512,Select the antonym of 'near'.,slow,dry,far,cold,C,Verbal,Easy
Q513,Select the antonym of 'hot'.,closed,outside,cold,sad,C,Verbal,Easy
Q514,Select the antonym of 'near'.,far,soft,out,dry,A,Verbal,Easy
Q515,Select the word that rhymes with 'dog'.,king,car,leaf,log,D,Verbal,Easy
Q516,Select the synonym of 'strong'.,tiny,courageous,see,powerful,D,Verbal,Easy
Q517,Select the word that rhymes with 'tree'.,bee,moon,leaf,book,A,Verbal,Easy
Q518,Select the word that rhymes with 'pen'.,car,stone,hen,king,C,Verbal,Easy
Q519,Select the word that rhymes with 'car'.,book,dog,moon,star,D,Verbal,Easy
Q520,Select the antonym of 'up'.,down,sad,closed,soft,A,Verbal,Easy
Q521,Select the word that rhymes with 'sun'.,table,car,fun,chair,C,Verbal,Easy
Q522,Select the antonym of 'in'.,soft,slow,out,down,C,Verbal,Easy
Q523,Select the antonym of 'hard'.,soft,small,cold,outside,A,Verbal,Easy
Q524,Select the synonym of 'brave'.,mad,wealthy,finish,courageous,D,Verbal,Easy
Q525,Select the synonym of 'ask'.,finish,request,assist,courageous,B,Verbal,Easy
Q526,Select the antonym of 'hot'.,down,slow,cold,far,C,Verbal,Easy
Q527,Select the antonym of 'in'.,small,far,out,soft,C,Verbal,Easy
Q528,Select the word that rhymes with 'dog'.,king,log,stone,moon,B,Verbal,Easy
Q529,Select the synonym of 'clean'.,wealthy,mad,inexpensive,tidy,D,Verbal,Easy
Q530,Select the synonym of 'small'.,begin,joyful,tiny,courageous,C,Verbal,Easy
Q531,Select the word that rhymes with 'ring'.,book,sing,table,leaf,B,Verbal,Easy
Q532,Select the word that rhymes with 'ring'.,sing,pen,chair,moon,A,Verbal,Easy
Q533,Select the synonym of 'smart'.,intelligent,mad,joyful,silent,A,Verbal,Easy
Q534,Select the word that rhymes with 'light'.,moon,leaf,night,dog,C,Verbal,Easy
Q535,Select the word that rhymes with 'pen'.,book,chair,hen,moon,C,Verbal,Easy
Q536,Select the antonym of 'strong'.,weak,cold,far,dark,A,Verbal,Easy
Q537,Select the word that rhymes with 'sun'.,fun,stone,car,book,A,Verbal,Easy
Q538,Select the antonym of 'big'.,dry,small,outside,soft,B,Verbal,Easy
Q539,Select the synonym of 'brave'.,finish,quick,stroll,courageous,D,Verbal,Easy
Q540,Select the word that rhymes with 'sun'.,dog,fun,leaf,king,B,Verbal,Easy
Q541,Select the antonym of 'near'.,cold,closed,far,sad,C,Verbal,Easy
Q542,Select the synonym of 'clean'.,mad,close,retain,tidy,D,Verbal,Easy
Q543,Select the word that rhymes with 'ball'.,king,moon,fall,stone,C,Verbal,Easy
Q544,Select the synonym of 'clean'.,tiny,tidy,simple,noisy,B,Verbal,Easy
Q545,Select the synonym of 'empty'.,stroll,vacant,chilly,large,B,Verbal,Easy
Q546,Select the antonym of 'full'.,empty,dark,sad,slow,A,Verbal,Easy
Q547,Select the word that rhymes with 'mouse'.,leaf,dog,chair,house,D,Verbal,Easy
Q548,Select the word that rhymes with 'tree'.,dog,chair,bee,pen,C,Verbal,Easy
Q549,Select the antonym of 'big'.,empty,far,weak,small,D,Verbal,Easy
Q550,Select the word that rhymes with 'ring'.,chair,table,king,sing,D,Verbal,Easy
Q551,Select the antonym of 'open'.,dark,slow,dry,closed,D,Verbal,Easy
Q552,Select the word that rhymes with 'mouse'.,house,table,book,leaf,A,Verbal,Easy
Q553,Select the synonym of 'near'.,finish,assist,chilly,close,D,Verbal,Easy
Q554,Select the synonym of 'big'.,silent,close,large,inexpensive,C,Verbal,Easy
Q555,Select the word that rhymes with 'sun'.,chair,fun,pen,stone,B,Verbal,Easy
Q556,Select the antonym of 'full'.,cold,empty,closed,outside,B,Verbal,Easy
Q557,Select the word that rhymes with 'ring'.,chair,dog,sing,king,C,Verbal,Easy
Q558,Select the antonym of 'fast'.,slow,soft,closed,down,A,Verbal,Easy
Q559,Select the synonym of 'empty'.,joyful,vacant,quick,silent,B,Verbal,Easy
Q560,Select the antonym of 'happy'.,closed,outside,cold,sad,D,Verbal,Easy
Q561,Select the word that rhymes with 'ball'.,table,book,dog,fall,D,Verbal,Easy
Q562,Select the word that rhymes with 'car'.,star,pen,table,chair,A,Verbal,Easy
Q563,Select the synonym of 'keep'.,chilly,wealthy,silent,retain,D,Verbal,Easy
Q564,Select the synonym of 'help'.,courageous,inexpensive,donate,assist,D,Verbal,Easy
Q565,Select the synonym of 'walk'.,finish,retain,courageous,stroll,D,Verbal,Easy
Q566,Select the synonym of 'brave'.,finish,inexpensive,stroll,courageous,D,Verbal,Easy
Q567,Select the synonym of 'smart'.,quick,joyful,intelligent,vacant,C,Verbal,Easy
Q568,Select the word that rhymes with 'tree'.,book,table,bee,leaf,C,Verbal,Easy
Q569,Select the synonym of 'walk'.,powerful,large,close,stroll,D,Verbal,Easy
Q570,Select the synonym of 'help'.,inexpensive,assist,courageous,begin,B,Verbal,Easy
Q571,Select the word that rhymes with 'cat'.,dog,car,table,hat,D,Verbal,Easy
Q572,Select the word that rhymes with 'cat'.,dog,table,stone,hat,D,Verbal,Easy
Q573,Select the word that rhymes with 'tree'.,pen,bee,king,book,B,Verbal,Easy
Q574,Select the antonym of 'inside'.,closed,sad,outside,far,C,Verbal,Easy
Q575,Select the word that rhymes with 'cat'.,chair,hat,leaf,pen,B,Verbal,Easy
Q576,Select the synonym of 'loud'.,intelligent,close,tidy,noisy,D,Verbal,Easy
Q577,Select the antonym of 'early'.,late,closed,small,slow,A,Verbal,Easy
Q578,Select the antonym of 'wet'.,dry,outside,out,soft,A,Verbal,Easy
Q579,Select the synonym of 'cold'.,silent,chilly,finish,donate,B,Verbal,Easy
Q580,Select the word that rhymes with 'ring'.,stone,sing,dog,chair,B,Verbal,Easy
Q581,Select the synonym of 'strong'.,request,powerful,stroll,tidy,B,Verbal,Easy
Q582,Select the word that rhymes with 'cat'.,stone,book,hat,dog,C,Verbal,Easy
Q583,Select the antonym of 'near'.,far,weak,dark,out,A,Verbal,Easy
Q584,Select the synonym of 'strong'.,see,donate,vacant,powerful,D,Verbal,Easy
Q585,Select the antonym of 'strong'.,empty,down,weak,dry,C,Verbal,Easy
Q586,Select the antonym of 'hard'.,outside,dark,soft,small,C,Verbal,Easy
Q587,Select the antonym of 'open'.,weak,closed,outside,slow,B,Verbal,Easy
Q588,Select the synonym of 'happy'.,see,assist,joyful,begin,C,Verbal,Easy
Q589,Select the antonym of 'strong'.,dry,weak,sad,far,B,Verbal,Easy
Q590,Select the antonym of 'up'.,dry,far,down,soft,C,Verbal,Easy
Q591,Select the synonym of 'cheap'.,tidy,inexpensive,courageous,stroll,B,Verbal,Easy
Q592,Select the synonym of 'end'.,finish,assist,donate,retain,A,Verbal,Easy
Q593,Select the synonym of 'big'.,quick,chilly,large,mad,C,Verbal,Easy
Q594,Select the word that rhymes with 'dog'.,leaf,table,log,book,C,Verbal,Easy
Q595,Select the antonym of 'strong'.,down,cold,empty,weak,D,Verbal,Easy
Q596,Select the word that rhymes with 'mouse'.,moon,dog,house,leaf,C,Verbal,Easy
Q597,Select the antonym of 'hot'.,small,outside,cold,sad,C,Verbal,Easy
Q598,Select the antonym of 'inside'.,outside,far,slow,weak,A,Verbal,Easy
Q599,Select the synonym of 'clean'.,retain,tidy,intelligent,stroll,B,Verbal,Easy
Q600,Select the synonym of 'clean'.,inexpensive,tidy,request,silent,B,Verbal,Easy
Q601,"Remember the sequence: 3, 2, 9. Which was second?",3,9,2,30,C,Memory,Medium
Q602,"Remember the sequence: Triangle, Rectangle, Diamond. Which was second?",Circle,Diamond,Triangle,Rectangle,D,Memory,Medium
Q603,"Remember the sequence: 6, 10, 10. Which was last?",10,10,6,28,A,Memory,Medium
Q604,"Remember the sequence: Rectangle, Oval, Square. Which was first?",Oval,Hexagon,Square,Rectangle,D,Memory,Medium
Q605,"Remember the sequence: Pentagon, Hexagon, Diamond. Which was last?",Diamond,Pentagon,Circle,Hexagon,A,Memory,Medium
Q606,"Remember the sequence: Purple, Pink, Grey. Which was second?",Purple,Cyan,Grey,Pink,D,Memory,Medium
Q607,"Remember the sequence: Cherry, Grapes, Papaya. Which was last?",Papaya,Pineapple,Cherry,Grapes,A,Memory,Medium
Q608,"Remember the sequence: Black, Brown, White. Which was last?",Black,White,Brown,Orange,B,Memory,Medium
Q609,"Remember the sequence: 12, 16, 5. Which was last?",5,12,25,16,A,Memory,Medium
Q610,"Remember the sequence: White, Purple, Blue. Which was second?",Yellow,White,Blue,Purple,D,Memory,Medium
Q611,"Remember the sequence: Circle, Oval, Octagon. Which was second?",Octagon,Diamond,Circle,Oval,D,Memory,Medium
Q612,"Remember the sequence: Green, Red, Black. Which was second?",Black,Green,Yellow,Red,D,Memory,Medium
Q613,"Remember the sequence: Green, White, Grey. Which was last?",Green,Grey,White,Black,B,Memory,Medium
Q614,"Remember the sequence: Fox, Dog, Zebra. Which was first?",Dog,Fox,Zebra,Tiger,B,Memory,Medium
Q615,"Remember the sequence: Kangaroo, Dog, Giraffe. Which was first?",Kangaroo,Dog,Rabbit,Giraffe,A,Memory,Medium
Q616,"Remember the sequence: Elephant, Lion, Giraffe. Which was first?",Lion,Giraffe,Tiger,Elephant,D,Memory,Medium
Q617,"Remember the sequence: Plum, Papaya, Peach. Which was second?",Peach,Papaya,Plum,Mango,B,Memory,Medium
Q618,"Remember the sequence: 9, 8, 8. Which was second?",9,8,20,8,B,Memory,Medium
Q619,"Remember the sequence: 16, 15, 10. Which was first?",15,10,23,16,D,Memory,Medium
Q620,"Remember the sequence: Peach, Apple, Pear. Which was second?",Pineapple,Pear,Peach,Apple,D,Memory,Medium
Q621,"Remember the sequence: Wolf, Tiger, Bear. Which was first?",Rabbit,Wolf,Bear,Tiger,B,Memory,Medium
Q622,"Remember the sequence: 11, 2, 16. Which was first?",2,19,16,11,D,Memory,Medium
